epoch,loss,accuracy,time_ms
1,0.200358,0.968000,74062.781200
2,0.257034,0.948800,74042.153700
3,0.246576,0.950400,74140.582500
4,0.218665,0.952800,74804.152400
5,0.200366,0.960000,73756.201100
6,0.185083,0.964800,74005.194500
7,0.172292,0.966400,74167.361200
8,0.163077,0.968000,73969.186300
9,0.151705,0.968800,74462.838900
10,0.141403,0.969600,74044.582900
11,0.131206,0.972800,73816.580100
12,0.121451,0.976000,74142.633600
13,0.113753,0.975200,74264.629200
14,0.109482,0.975200,73878.122100
15,0.102760,0.976000,74192.452300
16,0.097964,0.976800,75923.422000
17,0.092294,0.976800,73985.196900
18,0.087474,0.980000,74346.601900
19,0.082487,0.979200,74334.808200
20,0.079513,0.980800,74172.290000
