epoch,loss,accuracy
1,1.649023,0.350000
2,1.583300,0.400000
3,1.533240,0.400000
4,1.489956,0.450000
5,1.448063,0.450000
6,1.398710,0.500000
7,1.343821,0.500000
8,1.286003,0.500000
9,1.226888,0.500000
10,1.172606,0.500000
11,1.118846,0.550000
12,1.070357,0.550000
13,1.025100,0.550000
14,0.985827,0.600000
15,0.947800,0.600000
16,0.910782,0.700000
17,0.877593,0.800000
18,0.844687,0.800000
19,0.813089,0.850000
20,0.786784,0.900000
21,0.758889,0.900000
22,0.729724,0.900000
23,0.703970,0.900000
24,0.676831,0.900000
25,0.649914,0.900000
26,0.623630,0.950000
27,0.598620,0.950000
28,0.573179,0.950000
29,0.548645,1.000000
30,0.522537,1.000000
31,0.496042,1.000000
32,0.472760,1.000000
33,0.449628,1.000000
34,0.426388,1.000000
35,0.404002,1.000000
36,0.380699,1.000000
37,0.362591,1.000000
38,0.342111,1.000000
39,0.321932,1.000000
40,0.306168,1.000000
41,0.289111,1.000000
42,0.274288,1.000000
43,0.258387,1.000000
44,0.245507,1.000000
45,0.232841,1.000000
46,0.221275,1.000000
47,0.210272,1.000000
48,0.199332,1.000000
49,0.190297,1.000000
50,0.180247,1.000000
51,0.172608,1.000000
52,0.164968,1.000000
53,0.157251,1.000000
54,0.150602,1.000000
55,0.144436,1.000000
56,0.138403,1.000000
57,0.132481,1.000000
58,0.127390,1.000000
59,0.122560,1.000000
60,0.118010,1.000000
61,0.113872,1.000000
62,0.109543,1.000000
63,0.105552,1.000000
64,0.101817,1.000000
65,0.098300,1.000000
66,0.095108,1.000000
67,0.092044,1.000000
68,0.088993,1.000000
69,0.086251,1.000000
70,0.083633,1.000000
71,0.081107,1.000000
72,0.078700,1.000000
73,0.076648,1.000000
74,0.074349,1.000000
75,0.072026,1.000000
76,0.070111,1.000000
77,0.068487,1.000000
78,0.066524,1.000000
79,0.064700,1.000000
80,0.063244,1.000000
